NO.	약품코드	일반약품명	캐니스터번호	제품ID	약품종류	캐니스터 사용	순차/동시
1	671806320	티지페논정	54	1호기	T - 알약/캡슐	○	순차
2	671807200	다파원정10mg	95	1호기	T - 알약/캡슐	○	순차
3	694002270	텔미베타정40mg	114	1호기	T - 알약/캡슐	○	순차
4	648604070	씨엠지모사프리드에스알서방정15mg	63	1호기	T - 알약/캡슐	○	순차
5	693900080	고덱스캡슐	8	1호기	T - 알약/캡슐	○	순차
6	643705130	아페젯정10/10mg	90	1호기	T - 알약/캡슐	○	순차
7	643507280	로수젯정10/5mg	40	1호기	T - 알약/캡슐	○	순차
8	671806360	크로우젯정10/5mg	3	1호기	T - 알약/캡슐	○	순차
9	643308600	텔미트렌정20mg	129	1호기	T - 알약/캡슐	○	순차
10	643705280	테넬디엠20/1000	46	1호기	T - 알약/캡슐	○	순차
11	643302280	이모튼캡슐	37	1호기	T - 알약/캡슐	○	순차
12	643504690	아모잘탄정5/100mg	120	1호기	T - 알약/캡슐	○	순차
13	643504680	아모잘탄정5/50mg	77	1호기	T - 알약/캡슐	○	순차
14	645301210	엔테론정150mg	136	1호기	T - 알약/캡슐	○	순차
15	671805690	크로우정5mg	4	1호기	T - 알약/캡슐	○	순차
16	665000130	경보세프포독심프로세틸	44	1호기	T - 알약/캡슐	○	순차
17	668902910	제미메트서방정50/1000mg	32	1호기	T - 알약/캡슐	○	순차
18	671800570	리피원정10mg	132	1호기	T - 알약/캡슐	○	순차
19	073400360	노바스크정5mg	141	1호기	T - 알약/캡슐	○	순차
20	671805870	네렉손서방정	106	1호기	T - 알약/캡슐	○	순차
21	641100270	아스피린프로텍트정100mg	22	1호기	T - 알약/캡슐	○	순차
22	671807220	비드레바서방정150mg	83	1호기	T - 알약/캡슐	○	순차
23	658202670	제이비카정5/20mg	16	1호기	T - 알약/캡슐	○	순차
24	643705270	테넬디정20mg	148	1호기	T - 알약/캡슐	○	순차
25	644700140	기넥신에프정80mg	137	1호기	T - 알약/캡슐	○	순차
26	669902880	에피손정	72	1호기	T - 알약/캡슐	○	순차
27	671805280	오티렌정	28	1호기	T - 알약/캡슐	○	순차
28	671803380	펠루비정	78	1호기	T - 알약/캡슐	○	순차
29	641602040	우루사정100mg	15	1호기	T - 알약/캡슐	○	순차
30	671807710	타바로젯정2/10mg	51	1호기	T - 알약/캡슐	○	순차
31	648601000	씨엠지모사프리드정	102	1호기	T - 알약/캡슐	○	순차
32	643705250	탈리부틴정200mg	113	1호기	T - 알약/캡슐	○	순차
33	643704390	에제로바정10/5mg	10	1호기	T - 알약/캡슐	○	순차
34	643702130	케모신캡슐	45	1호기	T - 알약/캡슐	○	순차
35	671806900	업타바캡슐	128	1호기	T - 알약/캡슐	○	순차
36	643701790	엘펙트캡슐	25	1호기	T - 알약/캡슐	○	순차
37	663600610	바미드정	150	1호기	T - 알약/캡슐	○	순차
38	642102570	페니라민정	84	1호기	T - 알약/캡슐	○	순차
39	649400100	나이시드캡슐150mg	19	1호기	T - 알약/캡슐	○	순차
40	651602290	타리틴	108	1호기	T - 알약/캡슐	○	순차
41	648601450	징코미란정80mg	33	1호기	T - 알약/캡슐	○	순차
42	693901210	글리메엠2/500	152	1호기	T - 알약/캡슐	○	순차
43	643704700	안티그렐서방정	107	1호기	T - 알약/캡슐	○	순차
44	643700940	다이메릴정	82	1호기	T - 알약/캡슐	○	순차
45	643704540	국제피오글리타존정30mg	126	1호기	T - 알약/캡슐	○	순차
46	649804140	트라펜세미정	53	1호기	T - 알약/캡슐	○	순차
47	671804830	크로우정10mg	47	1호기	T - 알약/캡슐	○	순차
48	643506740	코싹엘정	9	1호기	T - 알약/캡슐	○	순차
49	643701580	아로펜정	154	1호기	T - 알약/캡슐	○	순차
50	643309240	가네듀오캡슐	13	1호기	T - 알약/캡슐	○	순차
51	671807260	리토젯정10/10mg	69	1호기	T - 알약/캡슐	○	순차
52	653602300	가브스메트정50/500mg	31	1호기	T - 알약/캡슐	○	순차
53	653501410	트라젠타듀오정2.5/1000mg	7	1호기	T - 알약/캡슐	○	순차
54	643705540	에피나원정	34	1호기	T - 알약/캡슐	○	순차
55	643306140	텔미트렌정40mg	64	1호기	T - 알약/캡슐	○	순차
56	649804410	씨앤유	2	1호기	T - 알약/캡슐	○	순차
57	643704520	알덱트정480mg	122	1호기	T - 알약/캡슐	○	순차
58	694000560	대웅바이오아토르바스타틴정10mg	70	1호기	T - 알약/캡슐	○	순차
59	680900030	세비카정5/20mg	119	1호기	T - 알약/캡슐	○	순차
60	653501520	자디앙듀오정12.5/1000mg	145	1호기	T - 알약/캡슐	○	순차
61	643503630	한미아스피린장용정100mg	155	1호기	T - 알약/캡슐	○	순차
62	643508470	로수젯정10/2.5mg	27	1호기	T - 알약/캡슐	○	순차
63	641600370	다이아벡스정1000mg	116	1호기	T - 알약/캡슐	○	순차
64	642506570	모티리톤정	111	1호기	T - 알약/캡슐	○	순차
65	670500540	보령바이오아스트릭스캡슐100mg	140	1호기	T - 알약/캡슐	○	순차
66	647802630	플래리스정	48	1호기	T - 알약/캡슐	○	순차
67	650200400	레보텐션정2.5mg	117	1호기	T - 알약/캡슐	○	순차
68	653501390	트라젠타듀오정2.5/500mg	26	1호기	T - 알약/캡슐	○	순차
69	643507790	아모잘탄플러스정5/100/12.5mg	118	1호기	T - 알약/캡슐	○	순차
70	671802920	코대원정	88	1호기	T - 알약/캡슐	○	순차
71	643704380	에제로바정10/10mg	21	1호기	T - 알약/캡슐	○	순차
72	653402240	올메론정20mg	71	1호기	T - 알약/캡슐	○	순차
73	650700930	직듀오서방정10/1000mg	38	1호기	T - 알약/캡슐	○	순차
74	643506410	페노시드캡슐	41	1호기	T - 알약/캡슐	○	순차
75	671805860	펠루비서방정	94	1호기	T - 알약/캡슐	○	순차
76	643704800	나푸디정	135	1호기	T - 알약/캡슐	○	순차
77	643501990	오잘탄정50mg	138	1호기	T - 알약/캡슐	○	순차
78	641602020	올메텍플러스정20/12.5mg	130	1호기	T - 알약/캡슐	○	순차
79	668902170	제미글로정50mg	66	1호기	T - 알약/캡슐	○	순차
80	652105470	테넬리아엠서방정10/750mg	42	1호기	T - 알약/캡슐	○	순차
81	644000300	로페닌정	101	1호기	T - 알약/캡슐	○	순차
82	643703260	크레로바정10mg	43	1호기	T - 알약/캡슐	○	순차
83	671806350	크로우젯정10/10mg	143	1호기	T - 알약/캡슐	○	순차
84	653600860	엑스포지정5/80mg	65	1호기	T - 알약/캡슐	○	순차
85	643501600	아모디핀정5mg	153	1호기	T - 알약/캡슐	○	순차
86	643300660	리피로우정20mg	60	1호기	T - 알약/캡슐	○	순차
87	643306530	텔미누보정40/5mg	147	1호기	T - 알약/캡슐	○	순차
88	652105480	테넬리아엠서방정20/1000mg	20	1호기	T - 알약/캡슐	○	순차
89	694001160	베아로탄정50mg	131	1호기	T - 알약/캡슐	○	순차
90	073400340	리피토정10mg	58	1호기	T - 알약/캡슐	○	순차
91	653601350	가브스정50mg	57	1호기	T - 알약/캡슐	○	순차
92	680900070	세비카에이치씨티정5/40/12.5mg	149	1호기	T - 알약/캡슐	○	순차
93	073100410	아토젯정10/10mg	96	1호기	T - 알약/캡슐	○	순차
94	655604990	글루코프리서방정1000mg	1	1호기	T - 알약/캡슐	○	순차
95	671807570	다파원엠서방정10/1000mg	14	1호기	T - 알약/캡슐	○	순차
96	653501460	자디앙정10mg	124	1호기	T - 알약/캡슐	○	순차
97	643307290	텔미누보정80/5mg	156	1호기	T - 알약/캡슐	○	순차
98	652101570	플라빅스정75mg	59	1호기	T - 알약/캡슐	○	순차
99	643700800	국제피오글리타존정	100	1호기	T - 알약/캡슐	○	순차
100	694003180	로에제정10/10mg	76	1호기	T - 알약/캡슐	○	순차
101	676300040	디아미크롱서방30	89	1호기	T - 알약/캡슐	○	순차
102	643507800	아모잘탄플러스정5/50/12.5mg	125	1호기	T - 알약/캡슐	○	순차
103	643508430	빌다글메트정50/850mg	139	1호기	T - 알약/캡슐	○	순차
104	641905940	카나브정30mg	52	1호기	T - 알약/캡슐	○	순차
105	643500130	그리메피드정4mg	144	1호기	T - 알약/캡슐	○	순차
106	641600390	다이아벡스정500mg	123	1호기	T - 알약/캡슐	○	순차
107	641602000	올메텍정20mg	142	1호기	T - 알약/캡슐	○	순차
108	640003910	헤르벤서방정90mg	39	1호기	T - 알약/캡슐	○	순차
109	649807820	판크레아	112	1호기	T - 알약/캡슐	○	순차
110	655605380	바이오탑하이포르테	50	1호기	T - 알약/캡슐	○	순차
111	655500650	자누메트정50/1000mg	49	1호기	T - 알약/캡슐	○	순차
112	654001270	안탁스	56	1호기	T - 알약/캡슐	○	순차
113	641604640	다이아벡스엑스알서방정1000mg	62	1호기	T - 알약/캡슐	○	순차
114	643900710	슈다페드	75	1호기	T - 알약/캡슐	○	순차
115	645700870	세토펜325	81	1호기	T - 알약/캡슐	○	순차
116	680900060	세비카정10/40mg	105	1호기	T - 알약/캡슐	○	순차
117	655501780	자누메트엑스알서방정 50/500mg	68	1호기	T - 알약/캡슐	○	순차
118	676300120	디아미크롱서방정60mg	87	1호기	T - 알약/캡슐	○	순차
119	658202680	제이비카5/40mg	93	1호기	T - 알약/캡슐	○	순차
120	649801930	브로피딘	99	1호기	T - 알약/캡슐	○	순차
121	663607370	바토루스캡슐	74	1호기	T - 알약/캡슐	○	순차
122	643501510	써스펜이알8시간	55	1호기	T - 알약/캡슐	○	순차
123	645605380	마그네스디	61	1호기	T - 알약/캡슐	○	순차
124	694000450	클래리트로마이신250	67	1호기	T - 알약/캡슐	○	순차
125	659700020	노르믹스정	73	1호기	T - 알약/캡슐	○	순차
126	650206040	페바로젯2/10	80	1호기	T - 알약/캡슐	○	순차
127	642101080	알마겔정	86	1호기	T - 알약/캡슐	○	순차
128	671807390	에스코텐	110	1호기	T - 알약/캡슐	○	순차
129	641700560	보나링에이	98	1호기	T - 알약/캡슐	○	순차
130	648602730	텔미로탄40	151	1호기	T - 알약/캡슐	○	순차
131	648604330	씨엠지몬테루카10mg	92	1호기	T - 알약/캡슐	○	순차
132	643508760	리나글로메트서방정5/1000mg	79	1호기	T - 알약/캡슐	○	순차
133	650205130	페바로에프캡슐	104	1호기	T - 알약/캡슐	○	순차
134	643705160	레티움정500mg	146	1호기	T - 알약/캡슐	○	순차
135	649402580	티로프란정	134	1호기	T - 알약/캡슐	○	순차
136	641600110	곰실린500mg	133	1호기	T - 알약/캡슐	○	순차
137	641600030	가스모틴정5mg	127	1호기	T - 알약/캡슐	○	순차
138	643301620	아나프록스	121	1호기	T - 알약/캡슐	○	순차
139	648603310	토라펜정25mg	85	1호기	T - 알약/캡슐	○	순차
140	648602230	슬림팍캡슐	91	1호기	T - 알약/캡슐	○	순차
141	648602300	다운슬링정	115	1호기	T - 알약/캡슐	○	순차
142	648603270	다비어정	109	1호기	T - 알약/캡슐	○	순차
